"CID of the partners"
12D3KooWA9BK1qpLvEmvKojECpD1FoNYenC16CWfqeHm3mFJV2Zv
12D3KooWAGL6grM7MZXuMnK2GK7nqPenTduSbNu58eHxb1yGmRPz
12D3KooWAMFbEDzRHMcyHWNxbBGvnYkCrscjy9RjM5163VF82PXu
12D3KooWAzeYbhUyU8bLwjYrM6XW8JrR3Vn4zg5yka4zJRxmcbvv
12D3KooWBFkWVTemESPXHKmHmYrTyKyY1otaKfTxjJL4XnChHfJM
12D3KooWBqQrnTqx9Wp89p2bD1hrwmXYJQ5x1fDfigRCfZJGKQfr
12D3KooWByHs3ReoYhCYneGTQSECoMF4oi3DxohMHy4VdsRDvQbD
12D3KooWC1WnSns8awPrBhG5DWVTDSDebwyZnd5TEgJb44xfnMPL
12D3KooWCKdRdk1j6KnZ4gkUgCAJPWuaq2MXupb9CypCU12H3X9h
12D3KooWCpdY6NZm1D3MpQyD9vN6tCRNoQWx7mqXRNVsni3JD9LD
12D3KooWCtmvWXYJwvKDJuEC9QVLCnu7bF72buXFcAfWhAyty35b
12D3KooWCumyFTvrsWYDEPGQayzM1xzpgUJa4BXdzw72manhDSKn
12D3KooWD7uLYaGQnPNkdyRu4cUTQquqp4mDMyoLhgAovV3knadq
12D3KooWDBprpmGqQay9f513WvQ9cZfXAtW1TiqPP2fpuEGnZsqh
12D3KooWDCFTGNMZy5A7eaXF4YzwuHmkpznoiLaC9v7a8Yds8AsD
12D3KooWDFXj4sMtmshSV5QnTeSbH11m8ueSxtDCPLdhaV96cWiU
12D3KooWDFvPgC5cRiw1c2k6XqHfezFHsQxs1PYDdGZUWdXGnmn8
12D3KooWDQwq1LDhoqACSTdBrrbQncekrayrgTC78FaD2rKUA9tf
12D3KooWDZyYb48YoLaqr2BpbSoe9Ki1nfmHVfnzUiRrMJ7PDPYe
12D3KooWDjVshB84s76SUDqwmUfcio1ndZ3H7F5Q3NesXrapzLJn
12D3KooWDjjxdU1Q3PKpWe8ksXwDKbRvCTnYc27NZpYYcQcAorTx
12D3KooWDnSvJ13V5yXij3pRmsijPLcr3pTe4oDY7iJbaUSdEJ5S
12D3KooWDyFMLPECto5L4dn2ovc5DZAxGsmExf4aAysSMGdCnqND
12D3KooWDz8QbsKcifn2hL2gxk7VPTxbiNKuKAzbmwKhGDwdqjU4
12D3KooWE1ZwQeiZSNAXNthrmd7Jto4UP23g35R6VyKSnyP1SiMU
12D3KooWEBWTevkBpgukENMVE1fmPJ62XnBCzG1JjUuyvtnPHPPv
12D3KooWELwc5aeGXzgGMB4GZRiParKsAVGHvFxnKZGLKMuRojK8
12D3KooWEVFe1uGbgsDCgt9GV5sAC864RNPPDJLTnX9phoWHuV2d
12D3KooWEY5nR9FTeq2hkKrkNjnioAW5mWgUBQuF4cVGVyqXed23
12D3KooWEZUmnehdmmL7G78bNFdAg3qh8oqVYHKpaRn9cuCNR8wV
12D3KooWEwSTunGSrRrADXDh4JRY12SLhxncHePECYUAEEkJZtQs
12D3KooWF8PvqRsaD5ixr2cAfFuChXdp3yxZogC6xXYNarxsAnsy
12D3KooWF8wxbXQ4DNpFLzg44Gpb6NdsTHkG4Bn1Z7a4tWS6rrdq
12D3KooWFAJhH7Vhq1yi1hGSXDRUGiG39boiAnPgng9vZwgAPoRk
12D3KooWFGZftuAyJrEXZFMtY4tu9ePkbmMTnsKVn3BTgCeVpCHd
12D3KooWFQbhuNpxmEhJR88jRaY3xjppzM3P7T3KnHhX5iZRFbyt
12D3KooWFUbNVkMuN7eGZrsa5MuLezwsxPRFsPvqvYTtHUFJ3KnY
12D3KooWFxFuqy1Yd9z1E4ezwyXwquWvWorMM32nZr6BKcKiVfxy
12D3KooWFzExWgsh3wAZoiUVoX9WRAt6U2CUPa59mYHZF9n9hhjM
12D3KooWGBMvnwLDFccZsTCHjaREYoB1MbMqC3Kv3S7MQ8d4DocQ
12D3KooWGLKJFrdvndHajFoBWM3GjzFZk6SiTtvSMkAbLBfncYvn
12D3KooWGNCLTtoukrifeFn2vf5p5vvKiMf48y3ro4sRcoWiNKoy
12D3KooWGa29gkQQYrmn4EcKLjL76MopXzdY6HM3hV5eBhnVpCSy
12D3KooWGbxKpMvTa77qVioe2PbvH854EgZ1nop37DcJfAndXjHA
12D3KooWGn53ZfHDBTmXZymtrURTwYuvfAURdqc8ddXtpsDSnd2d
12D3KooWGpWnvcJu1i2277w1sngAUFxHLwx7MLjau4d396UDNEPj
12D3KooWGwxKs17tDfzhvuXtdRAkpY9oSeD4MLnw75Swy4NvhRLN
12D3KooWH17TRnwPCPMuFzD8mFMeQhLm3YYJdDwA1NyPG6jvukPX
12D3KooWH6YXCynYkWrCsXJ92tNCjreUWdpdouo4Ksng6rx6DzWE
12D3KooWHDXbwroPAf5axd8ky6AZgYPLYgBUuij26KSuZ1Sirni1
12D3KooWHH4zVasxMLwnmRZTJaENn2dbwMGbYb3zUeRfJbBXiRxK
12D3KooWHJLdZuKeFRoQz5WcpQmrgZHoUi4rpUbsynJTQniPvQtR
12D3KooWHa8jviiFLGMMSMZ91dKAdyu2gPxSVDs7pDu3zb7Wce8n
12D3KooWHsL8HAaAmi9Bb5iMUbicDsnem2Lc5rndUgrmYMCdf7KM
12D3KooWHtnauCBMfqNV2yXw6Kr4grHzkzWaYmvs6Zv66FTMAEpQ
12D3KooWJRXNfDvUCR8P7uDGcp6TnGPa4avqdfLNUnAtsYKi4nC9
12D3KooWJYtCPNYxn2a8Q3FGRckEFGMCzHH4BXmBy4YpVixeYvwj
12D3KooWJcurrHE91szXxCVr3Bn93KVpPifqkxTCmEhntJTZmXXE
12D3KooWJmBfaR2ax3eGWT3p255akLFfvN4XHzKTndycuGRcrjUg
12D3KooWJvw4Depf8vAbtfFXcnNpF5NdbSCS2RZqmgch8CtTpiCR
12D3KooWK6fCiN94pX31UmxvgM4zSeTULMLnknqeecs2YyzGFZAb
12D3KooWKiBLZpzWCUWgDuDnX7UC13B5qV5SprqsKY8zwwkgX8qC
12D3KooWKtjfoXnNUCv8n6r45MHDc2aC1eak3S1L9jso9hWd9Wfg
12D3KooWL81aUPgKyUr7JpFrSGSr8mipo7oWeCnLUnh6QYKqdKmm
12D3KooWL9PWSTMKEiwNL2QJAiMZSGCp4S4penZ4RatFKDmRMFZk
12D3KooWLAnf3STnBPPMH1kRPHEU9b3ReQeLP5oGMHYVmiGsYhiM
12D3KooWLGB7GwjBWbbUs5quvg2jX6Sx31MrDuSrVf44hBSVBd9n
12D3KooWLGVn4JiBpip41QbAt8ocLpuqTwfCq4mAnBFy1ZYFCsMY
12D3KooWLTykzjqR4bWAV7hqiZDzAkQnECyfJYyAvXK4NLakeptz
12D3KooWLcVuHMvRW8QcXZtJdY8XnchUjsB9ahjbcUmcKszAkbnQ
12D3KooWLtQnDpNSYkvmxRdUVoK9newk2GSvSzuU8BzeGKx1zrRv
12D3KooWMTxjbeLNnUPuJ7xcG8jEYmfhTXZfRwcu7SqM4CdVE5MV
12D3KooWMZu2QT9xCzjjH7SNVMFWfr49n99PQD3bgaENoaJtuaFy
12D3KooWMaVd34nwu2AKjtRm7mf7xA2JcEg3UGCTrQsfsmqEsLAz
12D3KooWMg2eV3WgQt6MnwpJmfd5w5SYRxMhh4gxQRqTZbeRPTdZ
12D3KooWMpzyMfytf1ZRtVz5jnAZ5T9mgnA1Pn8zK1DkY4zkcdth
12D3KooWN9zWhEXDkVRdZVctsLen55AHGTQbidJtzzM4Bpwu9cyW
12D3KooWNbFtqdJtpBLBVZPnUTqthzBSUW8BzKB7TLirZeQPesML
12D3KooWNoRMyc9kHo9m34TsvviL8JdrEMw8wMRuxFQKMJdRnnec
12D3KooWP2s1dkn3xK9ewTXn2ydp2A5MV9gTnVn8HjbssYKfAHVz
12D3KooWPBiykGHHuE7P6FpRhnNBhLRnL3216o36AT4QUnWRrL49
12D3KooWPSgsN8RXpw5w4QWaHQwWFtk8X2suMARkKBxmCnwvStF8
12D3KooWPdXVdo7b1GUf4yWGPAtphDdqMby4bYh9q1csYniHAZKx
12D3KooWPpVxZRuQEA8MUM4ZjHECMJtFnVURoh24hTRu1Vg8px22
12D3KooWPq2xJGQMtdWnfndEnMNTxN9YdVYfVVmda4wh435HmUjD
12D3KooWPyj23KBuAYDDmDnf6zTxaaVwP8F7e5eNJPkFuL9JmkRC
12D3KooWQ8HCKzodffS7nWULLZ7ATnsk7y2UmMLx2XnDqADa2mkS
12D3KooWQMEyb4RUoxhjEXfBMGrbMQqzjU9Q1b4547Ws7GxkBdnk
12D3KooWQTZf58n4QuShfEKodQcrqv1NEvTpazY88Esmx9Ep8tsG
12D3KooWR749U8jn8w8KhGMAJXrPiPAip7SiVX1XPaL72n3JnKYQ
12D3KooWRARRQkMuJNaHFqwndSxjjyznoQiUaZQAjM191ekA7t6n
12D3KooWRSHCwbnepeREZfzcYPLBWhVVUiUhYPcG4n9JqU881x4Z
12D3KooWRgPVyd2JK6Jdjp6dyfpFafAVFp1LV7yFeyKtFykgxSTn
12D3KooWRh1uNTHVVqYZxeAPVDNYf8pMJ1qVDnyrzh8AN2Lw9SXg
