"IP";"CID";"Byte received";"Block received"
217.24.70.154;12D3KooWBqQrnTqx9Wp89p2bD1hrwmXYJQ5x1fDfigRCfZJGKQfr;24828617;
62.210.177.2;Qmcc7vYRdWxfpDHSRLW27kMsuPsBUthdjxk4qyfFup8YMR;169701685;
87.241.83.131;QmcZ4ouKCjVV83dz6VD1yTWDM7t5NZBQarEvVM21CMvoH3;7151661;
94.16.118.23;QmUEMvxS2e7iDrereVYc5SWPauXPyNwxcy9BXZrC1QTcHE;319531;
