"IP";"CID";"Byte received";"Block received"
136.144.59.83;12D3KooWDUGVYVaJKmGR3eJCbgihEYgYAfpnZqJYzhzeaJrLxq6j;280063;232
139.178.89.49;QmXYHU1M8t86gRKvUmE42smybPKXqTPEUPDUaCVtLmS6Bw;308;1
147.75.45.179;QmSPz3WfZ1xCq6PCFQj3xFHAPBRUudbogcDPSMtwkQzxGC;7323720;6082
185.37.217.1;12D3KooWG1nvQ1CsPbwVxPGBzj5KJ2vd6yapKgEto4BkLgyrzrvr;3023358;2511
52.255.200.232;QmRFt8RRVFeFN3NwPVLcotj8pffsgk73e9Y6GheWkmJTDZ;48290027;40107
69.165.199.72;12D3KooWBcp5jKTzgFALHkqva6bEPbfN755BcSvZA9mCK1PAivH3;300288655;249409
88.99.105.146;QmUgmRxoLtGERot7Y6G7UyF6fwvnusQZfGR15PuE6pY3aB;92783;77
93.79.151.94;QmUEMvxS2e7iDrereVYc5SWPauXPyNwxcy9BXZrC1QTcHE;134620891;111811
