"CID of the partners"
12D3KooWA9BK1qpLvEmvKojECpD1FoNYenC16CWfqeHm3mFJV2Zv
12D3KooWACMLNY4dXNThnCqmcQeLQypZqLHPWppfLWbvKVYhAkgK
12D3KooWAT3e6DZ6nSH3UNdrdRKvpyK25j32zCmoiXqVxTu6fLTN
12D3KooWAYCbPozciGArnka254oyAq1ZEQd6Y7QKv3h4iJscAtcf
12D3KooWAbtUUKU37wrst15kRfTuY4ttSgUP3je6bwaooRydnm6G
12D3KooWArKtUzupt4vkkV4ULSxnv42A2BPuTb6vHhbdmE4y3fD6
12D3KooWAxJDSuu4TdmSvWEyFdRPa1d4gWu33vX3t5djGskPnLm6
12D3KooWBBWkH8t9moREbh9nzKqi1yaLYA7MfdBADgD4JhS7qij6
12D3KooWBTdwFCEzU9eBgF1aawrp7epWprjUVWQRvpNC9WXnWoSj
12D3KooWBqQrnTqx9Wp89p2bD1hrwmXYJQ5x1fDfigRCfZJGKQfr
12D3KooWBrxai8XERrJaXpyoRLkedRMxwnPADdDVYRrYGXRDrXzj
12D3KooWByHs3ReoYhCYneGTQSECoMF4oi3DxohMHy4VdsRDvQbD
12D3KooWC89wDcfXqiHwZjLn7jEMRhBvC2P1tW9BostYacmkURqo
12D3KooWCHk8ocvTmBwoBUQeBJqafrgN8gCnefezkxzo1MJwrnUy
12D3KooWCKdRdk1j6KnZ4gkUgCAJPWuaq2MXupb9CypCU12H3X9h
12D3KooWCSb16nSJ325ANmyKJsT3x3MR1SCbCc63EUfBy3idRTTG
12D3KooWCSn3S9h9EMmGxkHgBu61kPZSTNpewFYn9FDW8tMqQLvE
12D3KooWCYkPm2Y64F2h33j1RjytcLb2GyxARxicaWx6nKssN5d4
12D3KooWCtV2UpYznkvjnXxri4LWuaFmzs7J6HeMg3rYwUtSxYBg
12D3KooWCtmvWXYJwvKDJuEC9QVLCnu7bF72buXFcAfWhAyty35b
12D3KooWD8tmQ6Yhp2LoKNEtidJAnaKcCXL3tFP9mnWcYuvcXiNM
12D3KooWDBprpmGqQay9f513WvQ9cZfXAtW1TiqPP2fpuEGnZsqh
12D3KooWDCFTGNMZy5A7eaXF4YzwuHmkpznoiLaC9v7a8Yds8AsD
12D3KooWDMrjMX8nuw6fKNuv8vMbLGhdr6iq3jHtS2FctfysYiJa
12D3KooWDTuWK9AvHXNGWeTCZM2cFbhUSNaon6Y6k8EDEogeu8oD
12D3KooWDUGVYVaJKmGR3eJCbgihEYgYAfpnZqJYzhzeaJrLxq6j
