"IP";"CID";"Byte_received";"Block_received"
138.201.67.219;QmNSYxZAiJHeLdkBg38roksAR9So7Y5eojks1yjEcUtZ7i;27321642;22692
147.75.77.187;12D3KooWEfQkss14RPkFoGCby5ZRo5F2UYEMEfSAbYUdjeAE6Dk3;8267;6
151.80.37.202;12D3KooWKSrcfXFU13WYXVrEjLC8QkprFfeqd2fBibpSTP1DiJ1W;813237;675
167.71.163.139;QmQEzth7bvxo3bDNYhZ3ihQJ8tCpLvnFPjsWHFK2TCXugN;34622877;28756
64.225.105.42;QmWaik1eJcGHq1ybTWe7sezRfqKNcDRNkeBaLnGwQJz1Cj;153922902;127842
94.102.210.148;QmUEMvxS2e7iDrereVYc5SWPauXPyNwxcy9BXZrC1QTcHE;5778257;4799
