"IP";"CID";"Byte_received";"Block_received"
64.38.177.10;12D3KooWGWvineRyAdAdn5fVWr1yp1A9UbXUM4h1GMB7WYUognHz;45761;38
64.92.40.220;Qmb8rLNjUyPfPEWga6hAvihnvN8hwwUEKbf4XG1jZqAKQS;23572;19
68.196.150.99;12D3KooWRdzMwVvdY9puwdLKhBNSJyMv4Tpp7uEGWE97v1uQrudg;53415;44
69.115.181.203;12D3KooWBcp5jKTzgFALHkqva6bEPbfN755BcSvZA9mCK1PAivH3;66295;55
70.95.4.140;QmcUQy2PRq6USbB164s9GCsgNYPxwJPE7KjfVffgbHvM1P;3778098;3137
71.105.96.95;12D3KooWBkc7vtwaezoEMHU8MgMxJSFRQxJFYhWKpZV44keMkiMW;1921866;1596
71.114.104.198;QmTDWSAVmj9EE9xYMQXsSAzycL6mSq1Xk9cdpueQsCQS2D;6406961;5321
71.190.12.158;12D3KooWHTBpUyz9sARNfUPgWHp8XYTphEPqYund6CMx26bXC1JZ;71045;59
77.239.245.132;Qmc6M18zgzryCrKZKUq3gWSCSbc5UhMve1YbCUGYock7DL;24121;20
78.196.162.233;QmfF3EqY3nQpBTRYoSEK7CG1RRUpTBCyJNEiJQtXTcpXj5;59841;49
79.124.79.30;QmSQsNCopZBbty7eS95Czob5ZA2wNRVfTkpTs8NdBEnJ8q;1525780;1267
8.33.32.203;12D3KooWSipSCMcQUCg2NtRrs3fAm55WzwxHdGJmXTEKnX6NHXHS;2933291;2436
80.82.222.131;12D3KooWLH4QK9ghy7HYd6tRS5t8pmKkWkY4JLEicX7X9CYuvjku;59256;49
81.96.50.25;12D3KooWLGyKXun8iQFhaHF1fqoBmKDBiLQEJ8V3qT5EK4drURzA;310;0
82.176.203.250;12D3KooWRfBMnaiiDTw782nE18ohQnRPBW2v5JHGeS1xKydahiUC;150377;124
93.103.158.16;QmZJNu3iCjZTWG9dw9ngkd7DdmpxZsCxCGye4EkfQ2NAri;213637;177
93.125.50.166;QmUEMvxS2e7iDrereVYc5SWPauXPyNwxcy9BXZrC1QTcHE;1537635;1277
96.127.228.140;12D3KooWBykWSvvARjrFEYdvkbePMx5F1rbx6pzud4KCoVMduB5m;17758;14
96.224.38.28;12D3KooWHEJTi14FweGjMtm6G7tTTJ7JUTTe3QQbwETTF4KaVq6K;8673410;7203
